2114819 "AOK Niedersachsen"     
523245 31.45.1451 "Jounes, Holzkopf"  1432,13 252,42 EUR
323562 32.45.4113 "Gorillas, ComeBack"  1441151,34 0,1 EUR
734747 64.73.7003 "Obelix, knobelFix"  2,99 1,01 EUR
252563 64.73.7003 "Obelix, knobelFix"  2,99 1,5 EUR
847534 23.54.3622 "Gerd, Gasprom"  26275,35 2422,65 EUR
   3 353626,26 3636,33 EUR
2114819 "AOK Niedersachsen"     
262735 31.45.1451 "Rud, Olf"  1432,13 252,42 EUR
323562 32.45.4113 "Gorillas, ComeBack"  1441151,34 0,1 EUR
734747 64.73.7003 "Obelix, knobelFix"  2,99 1,01 EUR
252563 64.73.7003 "Obelix, knobelFix"  2,99 1,5 EUR
847534 23.54.3622 "Gerd, Gasprom"  26275,35 2422,65 EUR
   3 353626,26 3636,33 EUR
